id,state_name,district_name,health_id_created,awc_infra_drink_water_src,awc_infra_func_toilets,awc_infra_own_building,awc_did_not_open,awc_open_atleast_1_day,awc_open_atleast_15_days,awc_open_atleast_21_days,awc_open_atleast_25_days,adolescent_girls,children_0_6_months,children_0_2_years,children_3_6_years,children_6_months_3_years,children_measured_0_5_years,children_measured_0_6_years,children_attend_awc_atleast_25_days,hcm_given_1_6_days,hcm_given_7_14_days,hcm_given_15_20_days,hcm_given_atleast_1_day,hcm_given_atleast_15_days,hcm_given_atleast_25_days,lactating_mothers,pregnant_women,pregnant_women_and_lactating_mother,obese_or_overweight,severely_moderately_underweight,severely_or_moderately_stunted,wasting_sam_or_mam,thr_given_atleast_1_day,thr_given_atleast_25_days,awc_mini,awc_regular,awc_rural,awc_urban,awc_total,awc_tribal_rural,awc_tribal_urban,janman_rural,janman_urban,awc_rural_pvtg,awc_urban_pvtg
17436,Andhra Pradesh,Sri Sathya Sai,688,2625,2107,1032,1,0,2822,2808,196,0,6204,19873,41960,49123,89597,96603,0,0,0,0,0,0,0,6662,8182,10815,3,8.5,19.5,5,0,0,522,2302,2438,386,2824,0,0,0,0,0,0
17437,Andhra Pradesh,Srikakulam,1964,3330,2118,991,19,0,3356,3315,207,0,8981,24725,40057,53900,96103,102373,0,0,0,0,0,0,0,9390,7964,14118,4,8,18,5,0,0,594,2791,3054,331,3385,27,0,0,0,27,0
17438,Andhra Pradesh,Tirupati,420,2427,2205,1103,1,0,2487,2422,192,0,7676,24049,48714,59663,106078,115152,0,0,0,0,0,0,0,7997,9035,12486,4,8,20,5,0,0,359,2133,2066,426,2492,0,0,0,0,0,0
17439,Andhra Pradesh,Visakhapatnam,111,776,637,210,0,0,776,772,34,0,6629,20762,40349,50415,88248,96619,0,0,0,0,0,0,0,7210,7771,11386,4,7.5,20,5,0,0,36,740,220,556,776,0,0,0,0,0,0
17440,Andhra Pradesh,Vizianagaram,402,2495,1977,798,0,0,2499,2492,166,0,6930,18942,26495,40894,70008,73452,0,0,0,0,0,0,0,7389,6551,11376,2,9,20,4,0,0,274,2225,2177,322,2499,0,0,0,0,0,0
17441,Andhra Pradesh,West Godavari,219,1626,1623,598,0,0,1626,1626,102,0,5373,15539,40381,38851,73536,84194,0,0,0,0,0,0,0,5671,5516,8414,2,8,15,4,0,0,71,1555,1420,206,1626,0,0,0,0,0,0
17442,Andhra Pradesh,Y.S.R. Kadapa,5130,2389,2111,1076,0,0,2389,2388,552,20045,9781,28319,56172,63670,115875,128835,0,0,0,0,0,0,0,9973,10749,15944,3,8.5,20.5,4,0,0,177,2212,1698,691,2389,0,0,0,0,0,0
17698,Karnataka,Bagalkote,7695,2228,2211,1549,0,0,2444,2444,2440,0,9549,30170,72681,73891,135008,154355,0,0,0,0,0,0,0,10749,13092,17438,5,19.5,47.5,2,0,0,29,2415,1771,673,2444,0,0,0,0,0,0
17699,Karnataka,Ballari,113,754,1280,942,0,0,1356,1344,1234,0,6386,23539,57766,58960,106945,121433,0,0,0,0,0,0,0,10537,13625,18319,5,25,53.5,4,0,0,1,1357,941,417,1358,0,0,0,0,0,0
17700,Karnataka,Belagavi,110620,5492,5307,3342,0,0,5654,5643,5538,0,27373,85178,217357,185255,359887,429137,0,0,0,0,0,0,0,29985,37630,53299,4,17.5,39,3,0,0,12,5644,4420,1236,5656,0,0,0,0,0,0
17701,Karnataka,Bengaluru Rural,8521,1245,1275,1048,0,0,1273,1241,1082,0,2660,9541,23133,26003,46833,51420,0,0,0,0,0,0,0,3183,5076,5996,4,11.5,36.5,1,0,0,61,1216,1111,166,1277,0,0,0,0,0,0
17702,Karnataka,Bengaluru South,2094,1403,1542,1071,0,0,1586,1567,1212,0,3540,10893,25006,25520,47197,53180,0,0,0,0,0,0,0,4009,5112,6851,5,11,32.5,2,0,0,195,1391,1336,250,1586,0,0,0,0,0,0
17703,Karnataka,Bengaluru Urban,1912,2819,2872,1158,0,0,2786,2628,2238,0,2636,25037,78455,100299,166972,178942,0,0,0,0,0,0,0,4198,7977,8640,2,6.5,25,1,0,0,2,2875,995,1882,2877,0,0,0,0,0,0
17704,Karnataka,Bidar,10186,1674,1492,1414,0,0,1975,1801,1276,0,5902,20905,66520,60400,115659,131367,0,0,0,0,0,0,0,7175,9885,11723,5,22.5,45,6,0,0,7,2044,1672,379,2051,0,0,0,0,0,0
17705,Karnataka,Chamarajanagar,647,1133,1253,1078,1,0,1429,1405,1315,0,2810,9565,23252,22702,41295,47072,0,0,0,0,0,0,0,3101,3741,5247,6,15,36.5,5,0,0,44,1395,1257,182,1439,23,0,0,0,0,0
17706,Karnataka,Chikkaballapura,303,1926,1972,1215,0,0,2014,2014,2010,0,4848,15327,29824,36166,64051,70410,0,0,0,0,0,0,0,5312,6722,9402,8,14.5,42.5,4,0,0,1,2013,1803,211,2014,0,0,0,0,0,0
17707,Karnataka,Chikkamagaluru,17219,1813,1845,1639,0,0,1858,1858,1808,0,3260,10283,25017,24776,46804,52895,0,0,0,0,0,0,0,3523,4286,5732,4,9,25.5,2,0,0,89,1769,1687,171,1858,0,0,0,0,0,0
17708,Karnataka,Chitradurga,3671,2213,2170,1810,0,0,2428,2425,2383,0,6743,22644,55283,52632,99349,113837,0,0,0,0,0,0,0,7318,8733,12613,5,15,34.5,5,0,0,60,2368,2146,282,2428,0,0,0,0,0,0
17709,Karnataka,Dakshina Kannada,30439,2120,2128,1927,0,0,2125,1967,215,0,7900,21469,42439,54432,96374,104348,0,0,0,0,0,0,0,8328,10503,13222,4,10.5,29,0,0,0,0,2130,1645,485,2130,0,0,0,0,0,0
17710,Karnataka,Davanagere,26005,1722,1724,1177,0,0,1763,1739,1524,0,6851,20636,51682,50142,93717,107080,0,0,0,0,0,0,0,7171,9067,11982,3,16.5,38.5,3,0,0,41,1730,1380,391,1771,0,0,0,0,0,0
17711,Karnataka,Dharwad,2883,1556,1536,862,0,0,1622,1622,1610,0,7136,23011,55463,56595,103233,117690,0,0,0,0,0,0,0,7878,10777,13946,3,22.5,46.5,2,0,0,0,1622,1016,606,1622,0,0,0,0,0,0
17712,Karnataka,Gadag,14252,1199,1142,926,0,0,1246,1242,1192,0,5631,16861,38092,39344,71588,82399,0,0,0,0,0,0,0,6296,7703,10172,4,22.5,49.5,1,0,0,1,1247,913,335,1248,0,0,0,0,0,0
17713,Karnataka,Hassan,384,2301,2435,1928,0,0,2689,2680,2621,0,5080,15546,31590,35566,65174,71726,0,0,0,0,0,0,0,6273,7686,10738,7,11,32,4,0,0,130,2561,2462,229,2691,0,0,0,0,0,0
17714,Karnataka,Haveri,10495,1968,1970,1471,0,0,1991,1991,1990,0,8773,26254,64065,57600,109641,130170,0,0,0,0,0,0,0,9189,11410,16009,2,22.5,42,0,0,0,5,1986,1668,323,1991,0,0,0,0,0,0
17715,Karnataka,Kalaburagi,241,2778,2837,1981,0,0,3403,3324,2882,0,11659,42625,122402,110796,206700,241739,0,0,0,0,0,0,0,17037,21537,28735,6,22.5,43.5,6,0,0,13,3407,2546,874,3420,0,0,0,0,0,0
17716,Karnataka,Kodagu,113,881,883,800,2,0,866,806,628,0,1388,4394,11731,11188,20897,23980,0,0,0,0,0,0,0,1464,2232,2585,7,11,34.5,4,0,0,6,877,821,62,883,0,0,0,0,0,0
17717,Karnataka,Kolar,17231,2104,2149,1122,0,0,2180,2180,2172,0,4534,17571,47137,47670,87117,97988,0,0,0,0,0,0,0,5468,7334,9669,4,8.5,27,2,0,0,26,2154,1835,345,2180,0,0,0,0,0,0
17718,Karnataka,Koppal,7319,1333,1580,1393,0,0,1953,1936,1835,0,8929,27385,67713,63422,118204,138210,0,0,0,0,0,0,0,9213,12127,15856,4,32.5,59,3,0,0,26,1934,1578,382,1960,0,0,0,0,0,0
17719,Karnataka,Mandya,13807,2529,2551,1771,0,0,2550,2519,2306,0,6435,18423,36374,41295,76850,83861,0,0,0,0,0,0,0,6643,7407,11179,8,10.5,37.5,2,0,0,249,2309,2288,270,2558,0,0,0,0,0,0
17720,Karnataka,Mysuru,16193,2861,2867,2218,11,0,2916,2894,2703,0,10357,29711,66123,72599,131676,147130,0,0,0,0,0,0,0,10571,13730,16928,5,13.5,37.5,2,0,0,104,2829,2450,483,2933,24,0,0,0,11,0
17721,Karnataka,Raichur,5846,1910,2455,1890,0,0,2846,2805,2560,44136,10792,34907,101766,83977,163457,194462,0,0,0,0,0,0,0,12353,15448,21248,4,32,54,8,0,0,23,2833,2204,652,2856,0,0,0,0,0,0
17722,Karnataka,Shivamogga,1223,2472,2534,2084,0,0,2559,2498,1016,0,6605,18572,47019,47216,87232,100537,0,0,0,0,0,0,0,7097,9517,11116,3,7.5,21,1,0,0,254,2309,2102,461,2563,0,0,0,0,0,0
17723,Karnataka,Tumakuru,29570,4093,4130,2966,0,0,4198,4186,4110,0,10853,33588,59419,74510,130328,143991,0,0,0,0,0,0,0,11808,13329,19502,6,11.5,36.5,1,0,0,278,3921,3781,418,4199,0,0,0,0,0,0
17724,Karnataka,Udupi,1046,1214,1221,1052,0,0,1222,1206,1109,0,3912,10847,17939,23050,40870,44354,0,0,0,0,0,0,0,3999,4349,6644,5,12.5,28.5,3,0,0,0,1222,1064,158,1222,0,0,0,0,0,0
17725,Karnataka,Uttara Kannada,14098,2763,2751,2128,0,0,2780,2732,1968,0,5604,15994,35799,35712,65923,76675,0,0,0,0,0,0,0,5779,6860,9770,5,17.5,41,1,0,0,108,2674,2381,401,2782,0,0,0,0,0,0
17726,Karnataka,Vijayanagara,956,959,1449,1272,2,0,1584,1563,1301,0,6453,21263,59371,52095,99181,116064,0,0,0,0,0,0,0,7870,9839,13129,5,19,44,6,0,0,16,1574,1247,343,1590,0,0,0,0,0,0
17727,Karnataka,Vijayapura,930,1933,1790,1407,0,0,2735,2663,2389,0,12174,37792,114319,93142,181459,215057,0,0,0,0,0,0,0,17378,20611,26690,6,15.5,40,3,0,0,1,2754,2172,583,2755,0,0,0,0,0,0
17728,Karnataka,Yadgir,101,1229,1352,925,0,0,1567,1552,1459,29525,5823,21087,62322,57039,104246,122296,0,0,0,0,0,0,0,8877,10958,14545,7,24,50,5,0,0,0,1568,1286,282,1568,0,0,0,0,0,0
17729,Kerala,Alappuzha,70,2116,2137,1150,3,0,2058,1846,665,0,2470,8522,46058,28487,60280,74535,0,0,0,0,0,0,0,2678,3656,4141,9,9,38.5,2,0,0,0,2150,1825,325,2150,0,0,0,0,0,0
17730,Kerala,Ernakulam,24,2831,2857,2043,0,0,2805,2644,1839,0,6536,19722,81908,52660,106619,131725,0,0,0,0,0,0,0,6566,7821,10161,3,7,23.5,2,0,0,0,2858,2112,746,2858,0,0,0,0,0,0
17731,Kerala,Idukki,185,1454,1523,1252,14,0,1474,1311,178,0,2483,7308,25395,19172,34252,40242,0,0,0,0,0,0,0,2599,3175,4100,7,9,37,2,0,0,2,1559,1471,90,1561,0,0,0,0,0,0
17732,Kerala,Kannur,26,2415,2495,2055,5,0,2419,2186,1313,0,7640,22170,80749,58071,101170,123470,0,0,0,0,0,0,0,7877,8516,11707,5,7,31,1,0,0,0,2504,1871,633,2504,14,0,0,0,0,0
17733,Kerala,Kasaragod,7,1253,1342,1203,3,0,1285,1170,658,0,3959,11320,45993,30690,52786,64927,0,0,0,0,0,0,0,4117,5574,6379,7,8.5,33,3,0,0,0,1348,1207,141,1348,0,0,0,0,0,0
17734,Kerala,Kollam,54,2634,2706,1817,4,0,2635,2356,581,0,5214,16975,65012,45105,91530,112197,0,0,0,0,0,0,0,5341,6415,8743,6,5,27,1,0,0,0,2723,2128,595,2723,0,0,0,0,0,0
17735,Kerala,Kottayam,35,2007,2049,1262,7,0,1966,1743,979,0,2181,7850,35826,24336,46745,55845,0,0,0,0,0,0,0,2327,3093,3683,8,7.5,36,2,0,0,0,2050,1748,302,2050,0,0,0,0,0,0
17736,Kerala,Kozhikode,29,2761,2926,2377,9,0,2741,2393,1294,0,8473,26243,103989,72406,121335,149436,0,0,0,0,0,0,0,8668,12238,13537,4,9,33,2,0,0,4,2934,2038,900,2938,0,0,0,0,0,0
17737,Kerala,Malappuram,3,3720,3793,3032,0,0,3786,3661,2771,0,25514,75427,243775,183278,312091,385836,0,0,0,0,0,0,0,25740,29662,40531,4,16,44,3,0,0,0,3808,3154,654,3808,0,0,0,0,0,0
17738,Kerala,Palakkad,19,2750,2825,2343,14,0,2752,2507,263,0,6857,22670,93030,62125,122853,150666,0,0,0,0,0,0,0,7205,9468,11714,8,13,44,4,0,0,2,2836,2576,262,2838,175,0,3,0,22,0
17739,Kerala,Pathanamthitta,36,1323,1384,812,0,0,1365,1275,176,0,2076,6378,23995,16433,33715,41291,0,0,0,0,0,0,0,2113,2135,3182,5,6,26.5,2,0,0,0,1389,1230,159,1389,0,0,0,0,0,0
17740,Kerala,Thiruvananthapuram,749,3008,3057,1931,6,0,2945,2675,515,0,6434,19912,77919,55873,96463,116948,0,0,0,0,0,0,0,6618,8134,9986,3,5,21,2,0,0,0,3061,2184,877,3061,10,0,0,0,0,0
17741,Kerala,Thrissur,219,2903,3008,2495,27,0,2684,2281,1176,0,5903,18361,86621,54180,95926,119942,0,0,0,0,0,0,0,6066,6878,8737,7,8,40.5,1,0,0,0,3016,2386,630,3016,0,0,0,0,0,0
17742,Kerala,Wayanad,12,848,868,760,1,0,848,765,40,17839,2495,7440,29180,19806,40535,49783,0,0,0,0,0,0,0,2664,3600,4441,5,12,34.5,4,0,0,0,876,765,111,876,2,0,1,1,2,0
17918,Puducherry,Karaikal,53,171,170,96,5,0,145,97,0,0,316,1093,1502,4069,5386,5407,0,0,0,0,0,0,0,366,421,473,11,17,47,7,0,0,0,172,125,47,172,0,0,0,0,0,0
17919,Puducherry,Mahe,0,13,13,4,1,0,12,12,7,0,20,72,92,253,306,309,0,0,0,0,0,0,0,35,24,27,10,23,46,17,0,0,0,13,0,13,13,0,0,0,0,0,0
17920,Puducherry,Puducherry,412,653,643,270,5,0,645,562,1,0,2389,7134,3130,17855,21826,21834,0,0,0,0,0,0,0,2600,2104,3597,12,13,41,7,0,0,0,661,299,362,661,0,0,0,0,0,0
17921,Puducherry,Yanam,0,0,0,0,0,0,9,8,0,0,52,162,119,534,616,616,0,0,0,0,0,0,0,67,46,65,17,15,39,9,0,0,0,9,0,9,9,0,0,0,0,0,0
17992,Tamil Nadu,Ariyalur,561,774,671,546,0,0,773,735,237,0,3592,10108,22805,22221,42269,47492,0,0,0,0,0,0,0,3751,3606,5753,1,7,15.5,4,0,0,83,691,720,54,774,0,0,0,0,0,0
17993,Tamil Nadu,Chengalpattu,448,1267,1204,946,0,0,1266,1245,202,0,6962,18519,43314,41958,80413,91854,0,0,0,0,0,0,0,6996,6284,10077,1,7,12.5,4,0,0,98,1169,1022,245,1267,0,1,0,1,0,1
17994,Tamil Nadu,Chennai,7932,1806,1794,1690,147,0,1659,1659,690,0,12120,33533,66478,72584,133056,149994,0,0,0,0,0,0,0,12499,11033,18651,0,5,10.5,2,0,0,164,1642,0,1806,1806,0,0,0,0,0,0
17995,Tamil Nadu,Coimbatore,4997,1697,1632,1404,56,0,1640,1639,147,0,9183,27752,64736,64408,121709,137604,0,0,0,0,0,0,0,9522,12071,16346,1,5,11,2,0,0,226,1471,763,934,1697,29,14,0,0,1,0
17996,Tamil Nadu,Cuddalore,871,2023,1781,1550,0,0,2023,2019,325,0,8641,24298,61161,61566,117318,130970,0,0,0,0,0,0,0,9173,10164,13677,1,5,14.5,2,0,0,134,1889,1675,348,2023,0,0,0,0,0,0
17997,Tamil Nadu,Dharmapuri,1210,1336,1104,1022,0,0,1335,1317,27,0,6707,20743,49799,49689,92249,103178,0,0,0,0,0,0,0,6971,7737,11135,1,3,11,2,0,0,249,1087,1242,94,1336,62,0,3,0,3,0
17998,Tamil Nadu,Dindigul,4134,2035,1991,1559,0,0,2035,2035,59,0,8462,25443,67131,57117,111033,132309,0,0,0,0,0,0,0,8415,8841,13897,1,7,16.5,3,0,0,97,1938,1541,494,2035,19,3,0,0,0,0
17999,Tamil Nadu,Erode,8091,2080,1869,1508,44,0,2030,1991,70,0,7173,20171,53518,46929,92590,107430,0,0,0,0,0,0,0,7223,8221,11720,1,7,11,3,0,0,102,1978,1290,790,2080,0,0,0,0,0,0
18000,Tamil Nadu,Kallakurichi,11625,1162,807,757,0,0,1160,1119,513,0,7421,20487,53141,47978,93324,107897,0,0,0,0,0,0,0,7578,7949,11200,1,8,15.5,4,0,0,45,1117,1089,73,1162,92,0,2,0,2,0
18001,Tamil Nadu,Kancheepuram,3373,940,926,825,0,0,940,931,125,0,4992,13556,26550,30117,55649,61304,0,0,0,0,0,0,0,5143,5343,8127,0,4,9,2,0,0,96,844,731,209,940,3,0,2,0,3,0
18002,Tamil Nadu,Kanniyakumari,2599,1401,1401,862,7,0,1370,1260,298,0,5790,17127,43163,42169,79455,90993,0,0,0,0,0,0,0,5920,6855,9184,1,3.5,8.5,2,0,0,33,1368,553,848,1401,9,1,0,0,0,0
18003,Tamil Nadu,Karur,5668,1052,907,697,0,0,1052,1049,51,0,4058,11492,30507,26497,52140,60800,0,0,0,0,0,0,0,4112,3985,6381,1,9,18.5,5,0,0,285,767,787,265,1052,0,0,0,0,0,0
18004,Tamil Nadu,Krishnagiri,1531,1796,1349,1290,3,0,1786,1750,182,0,6000,19590,37694,48678,84583,90142,0,0,0,0,0,0,0,6182,8448,10670,2,8.5,22,4,0,0,506,1290,1678,118,1796,275,0,0,0,0,0
18005,Tamil Nadu,Madurai,24,2001,1915,1427,0,0,1989,1932,296,0,11204,33767,75366,74873,139707,160811,0,0,0,0,0,0,0,11343,12709,18808,0,7,12.5,3,0,0,94,1907,1426,575,2001,0,0,0,0,0,0
18006,Tamil Nadu,Mayiladuthurai,1169,692,593,513,0,0,690,673,103,0,2533,7424,20631,19964,37290,41924,0,0,0,0,0,0,0,2712,3170,3971,1,6,16,3,0,0,111,581,626,66,692,0,0,0,0,0,0
18007,Tamil Nadu,Nagapattinam,3494,633,573,486,0,0,633,633,75,0,2269,6379,19408,15729,31208,37158,0,0,0,0,0,0,0,2360,2592,3588,1,6,11.5,3,0,0,64,569,537,96,633,0,0,0,0,0,0
18008,Tamil Nadu,Namakkal,11800,1599,1588,1113,1,0,1577,1491,93,0,5907,15944,43040,36799,72198,84686,0,0,0,0,0,0,0,5925,6192,9183,2,8,14.5,5,0,0,29,1570,1157,442,1599,80,0,0,0,0,0
18009,Tamil Nadu,Perambalur,2223,490,449,443,0,0,489,474,38,0,2986,7860,18038,17550,33615,38361,0,0,0,0,0,0,0,3007,3100,4425,1,10,18.5,5,0,0,59,431,443,47,490,1,0,1,0,1,0
18010,Tamil Nadu,Pudukkottai,5796,1799,1717,1392,0,0,1795,1754,237,0,5843,17160,51504,42874,84492,99678,0,0,0,0,0,0,0,6119,7270,9855,1,7,16,3,0,0,169,1630,1666,133,1799,0,0,0,0,0,0
18011,Tamil Nadu,Ramanathapuram,301,1453,1313,809,0,0,1454,1441,88,15234,3311,11479,35761,30934,59492,69405,0,0,0,0,0,0,0,3379,4073,5484,1,6,11.5,3,0,0,247,1207,1267,187,1454,0,0,0,0,0,0
18012,Tamil Nadu,Ranipet,4845,956,889,663,2,0,939,864,109,0,4783,12337,32275,29283,56530,65050,0,0,0,0,0,0,0,4832,4315,6684,1,9,19.5,4,0,0,13,943,759,197,956,0,0,0,0,0,0
18013,Tamil Nadu,Salem,5499,2697,2402,1907,6,0,2619,2385,124,0,13996,38926,102765,94189,180619,205966,0,0,0,0,0,0,0,14555,15898,21629,1,3,8,2,0,0,153,2544,1864,833,2697,173,0,1,0,1,0
18014,Tamil Nadu,Sivaganga,1342,1548,1383,1195,0,0,1551,1546,338,0,4143,12522,26756,29475,54377,60059,0,0,0,0,0,0,0,4271,4649,7036,1,7,12,4,0,0,397,1155,1384,168,1552,0,0,0,0,0,0
18015,Tamil Nadu,Tenkasi,4887,1301,1298,938,0,0,1301,1296,1,0,4669,15418,43616,38126,73518,86342,0,0,0,0,0,0,0,4781,6086,8240,1,6.5,14.5,3,0,0,129,1172,932,369,1301,0,0,0,0,0,0
18016,Tamil Nadu,Thanjavur,652,1749,1516,1250,1,0,1732,1635,201,0,8015,22888,61965,55412,109317,124852,0,0,0,0,0,0,0,8387,8904,12827,1,5,11.5,3,0,0,120,1629,1421,328,1749,0,0,0,0,0,0
18017,Tamil Nadu,The Nilgiris,800,486,475,404,0,0,486,484,0,0,1150,4005,11763,10146,19765,22972,0,0,0,0,0,0,0,1138,1728,2218,1,13.5,24,4,0,0,38,448,255,231,486,34,12,9,3,16,2
18018,Tamil Nadu,Theni,322,1065,961,658,1,0,1054,1010,90,0,3705,12645,21757,30591,51932,55205,0,0,0,0,0,0,0,4148,5592,6803,1,6.5,16.5,4,0,0,22,1043,605,460,1065,0,0,0,0,0,0
18019,Tamil Nadu,Thiruvallur,1469,1762,1684,1349,5,0,1757,1755,752,0,8954,24286,64074,57893,110922,128628,0,0,0,0,0,0,0,9329,9022,12983,1,7,16.5,3,0,0,42,1720,1511,251,1762,2,1,2,1,2,1
18020,Tamil Nadu,Thiruvarur,750,1260,1232,818,0,0,1251,1187,685,0,3450,10698,31362,28263,55306,62602,0,0,0,0,0,0,0,3814,4375,5837,2,5,14,3,0,0,133,1127,1128,132,1260,0,0,0,0,0,0
18021,Tamil Nadu,Thoothukkudi,247,1505,1455,1008,0,0,1504,1478,111,0,5253,15517,36556,37445,70374,78951,0,0,0,0,0,0,0,5351,5861,8502,1,7,13.5,3,0,0,100,1405,1121,384,1505,0,0,0,0,0,0
18022,Tamil Nadu,Tiruchirappalli,33796,1850,1750,1565,0,0,1850,1834,0,0,11449,31890,74221,70567,137438,155936,0,0,0,0,0,0,0,11426,12101,18138,0,6,10.5,3,0,0,184,1666,1376,474,1850,0,0,0,0,0,0
18023,Tamil Nadu,Tirunelveli,5495,1261,1259,1010,0,0,1260,1239,1,0,5050,15311,42354,37609,72203,84371,0,0,0,0,0,0,0,5066,5745,7943,1,8.5,17,3,0,0,129,1132,827,434,1261,0,2,0,0,0,0
